"Bancos","Caja y Bancos en ME / Obligaciones a la Vista ME ( N° de veces)","Caja y Bancos MN / Obligaciones a la Vista MN ( N° de veces )","Creditos Atrasados (criterio SBS)* / Creditos Directos","Creditos Atrasados con mas de 90 dias de atraso / Creditos Directos","Creditos Atrasados ME (criterio SBS)* / Creditos Directos ME","Creditos Atrasados MN (criterio SBS)* / Creditos Directos MN","Creditos Directos / Personal ( S/ Miles )","Creditos Refinanciados y Reestructurados / Creditos Directos","Depositos / Numero de Oficinas ( S/ Miles )","Gastos de Administracion Anualizados / Activo Productivo Promedio","Gastos de Operacion / Margen Financiero Total","Ingresos Financieros / Ingresos Totales","Ingresos Financieros Anualizados / Activo Productivo Promedio","Pasivo Total / Capital Social y Reservas ( N° de veces )","Periodo","Provisiones / Creditos Atrasados","Ratio de Capital Global (al mes anterior)","Ratio de Liquidez ME (Promedio de saldos del mes)","Ratio de Liquidez MN (Promedio de saldos del mes)","Utilidad Neta Anualizada / Activo Promedio","Utilidad Neta Anualizada / Patrimonio Promedio"
"Santander",6.1,0.51,0.64,0.62,1.04,0.26,30729,1.42,3184131.53,1.1,36.65,87.88,4.6,7.21,2017-06-30,324.93,16.56,54.88,26.26,1.35,11.41
"Scotiabank",1.38,0.18,3.22,2.8,3.27,3.19,7048,0.81,156585.39,2.47,37.14,83.89,7.67,8.03,2017-06-30,132.07,14.18,38.77,14.67,2.1,16.36
"Azteca",50.93,23.53,9.37,7.9,0,9.37,172,0,2286.83,35.81,68.09,93.4,56.82,3.41,2017-07-31,221.17,24.27,74.22,39.03,1.2,5.49
"B. del Comercio",8.53,2.16,3.23,3.14,11.61,2.46,1994,1.39,82723.13,4.32,52.73,94.23,12.35,7.05,2017-07-31,155.39,12.38,69.16,31.42,1.81,13.66
"BBVA",1.09,0.3,3.06,2.76,3.56,2.81,8412,2,141737.26,2.07,38.06,82.51,7.17,10.24,2017-07-31,168.4,15.08,42.16,27.06,1.79,19.91
"BCP",1.18,0.23,2.9,2.41,1.71,3.68,3757,0.97,169116.17,2.82,38.39,78.95,8.06,9.24,2017-07-31,147.5,16.49,39.88,36.72,2.47,22.43
"BIF",1.95,0.78,2.86,2.71,4.37,2.12,6231,2.03,108390.05,2.22,49.26,85.83,7.29,15.22,2017-07-31,150.09,12.98,42.67,15.86,0.71,9.87
"Cencosud",0,0,5.7,4.99,0,5.7,580,0.95,7258.32,25.21,71.42,83.23,41.28,2.75,2017-07-31,138.02,20.74,169.35,82.23,1.3,5.66
"Citibank",1.34,0.16,1.18,0,4.9,0,4894,0,3873424,2.7,46.57,66.62,4.68,4.11,2017-07-31,89.68,30.24,118.19,61.29,2.79,16.36
"Falabella",0,0,7.3,6.86,24.08,7.16,1574,2.8,33445.96,11.33,53.14,86.81,25.77,5.99,2017-07-31,151.25,16.31,106.19,47.9,1.58,10.72
"GNB",4.49,0.47,2.26,1.91,3.71,1.79,6685,0.75,305809.58,2.54,52.15,91.7,8.01,7.06,2017-07-31,154.49,13.91,49.39,30.38,0.92,7.28
"ICBC",4.06,53.74,0,0,0,0,4592,0,170509.37,4.33,57.17,44.67,4.06,2.34,2017-07-31,0,68.33,64.83,157.63,1.2,5.58
"Interbank",1.87,0.29,2.82,2.62,2.75,2.85,3896,1.01,86748.23,3.48,42.94,86.33,10.72,9.68,2017-07-31,170.47,16.63,59.65,24.27,2.11,21.13
"Mibanco",123.45,17.04,4.65,2.88,20.45,4.4,864,1.32,21430.47,8.44,52.95,96.36,20.84,8.96,2017-07-31,177.62,16.56,67.05,30.66,3,24.01
"Pichincha",4.1,1.93,4.36,3.81,7.03,3.45,3849,3.24,65793.44,4.29,59.46,86.34,11.08,10.26,2017-07-31,111.99,13.18,34.55,20.07,0.26,3.18
"Ripley",0,0,2.75,2.43,0,2.75,1063,0.55,34270.48,13.98,56.33,89.48,32.48,5.76,2017-07-31,221.69,14.46,579.71,27,2.94,16.52
"Santander",3.29,1.27,0.69,0.63,1.18,0.24,31167,1.38,3431867.91,1.11,35.89,87.62,4.66,7.53,2017-07-31,295.65,16.36,52.34,20.5,1.4,11.69
"Scotiabank",1.45,0.23,3.21,2.76,3.18,3.23,7215,0.79,157010.97,2.46,36.8,83.82,7.81,7.6,2017-07-31,131.33,14.22,41.34,13.13,2.12,16.36
"Azteca",48.75,27.89,9.29,7.76,0,9.29,174,0,2196.78,37.24,68.85,93.61,58.1,3.33,2017-08-31,220.83,24.34,72.4,36.95,0.92,4.11
"B. del Comercio",7.81,2.69,3.4,3.26,11.82,2.66,2019,1.29,86046.01,4.29,52.94,94.3,12.36,7.29,2017-08-31,150.72,12.53,68.52,35.89,1.79,13.51
"BBVA",1,0.49,3.07,2.81,3.56,2.82,8538,2.04,142223.86,2.11,37.87,82.4,7.19,10.77,2017-08-31,167.89,15.29,37.65,33.01,1.8,19.83
"BCP",1.12,0.22,2.93,2.44,1.68,3.72,3731,1.03,170327.87,2.82,38.41,78.74,8.07,9.14,2017-08-31,147.14,16.26,37.75,38.97,2.51,22.54
"BIF",1.77,0.34,2.85,2.74,4.25,2.16,6374,1.99,108432.19,2.23,48.87,85.86,7.28,15.14,2017-08-31,153.73,12.98,41.25,21.33,0.71,9.72
"Cencosud",0,0,5.02,4.39,0,5.02,596,0.93,7114.61,25.32,72.19,83.26,41.01,2.62,2017-08-31,145.97,19.88,146.25,76.12,1.26,5.41
"Citibank",1,0.4,0,0,0,0,4888,1.16,3810972.84,2.66,46.41,68.01,4.84,3.89,2017-08-31,0,29.22,108.82,69.95,2.89,16.51
"Falabella",0,0,7.53,7.09,25.89,7.38,1508,2.92,33852.73,11.38,53.32,86.72,25.96,5.95,2017-08-31,150.67,16.99,107,50.64,1.59,10.69
"GNB",4.99,0.64,2.28,1.91,3.28,1.96,6663,0.81,314120.51,2.52,52.17,91.73,7.98,7.17,2017-08-31,155.18,13.99,46.37,31.4,0.92,7.24
"ICBC",2.09,63.46,0,0,0,0,4777,0,158746.18,4.37,62.73,47.27,4.1,2.33,2017-08-31,0,66.08,60.32,109.38,1.09,5.09
"Interbank",1.9,0.26,2.88,2.67,2.75,2.93,3955,1,92846.55,3.48,42.75,86.34,10.74,10.01,2017-08-31,169.89,16.64,57.75,29.31,2.14,21.17
"Mibanco",58.04,17,4.72,2.98,20.88,4.48,874,1.32,20947.58,8.43,52.07,96.11,20.95,8.88,2017-08-31,181.02,16.66,57.53,31.52,3,23.97
"Pichincha",3.04,1.74,4.25,3.76,7.07,3.29,3861,3.4,68066.17,4.29,59.32,86.9,11.11,10.34,2017-08-31,114.48,13.33,33.01,20.67,0.24,2.85
"Ripley",0,0,2.81,2.48,0,2.81,1071,0.64,35940.63,13.89,56.14,89.44,32.44,5.92,2017-08-31,220.06,14.52,585.55,27.14,2.97,16.77
"Santander",4.02,2.1,0.65,0.6,1.07,0.26,32175,1.32,3301819.85,1.12,35.6,87.34,4.75,7.28,2017-08-31,306.93,16.76,48.91,30.64,1.4,11.5
"Scotiabank",1.38,0.41,3.15,2.73,3,3.24,7247,0.81,160019.23,2.44,36.89,83.85,7.85,7.83,2017-08-31,133.69,15.36,35.32,18.75,2.14,16.42
"Azteca",44.94,15.05,9.35,7.72,0,9.35,160,0,2157.22,38.4,69.58,93.64,59.52,3.3,2017-09-30,221.6,24.15,68.06,34.69,0.82,3.58
"B. del Comercio",9.39,2.43,3.24,3.12,12.15,2.47,1998,1.31,85605.27,4.26,53.34,94.38,12.33,7.36,2017-09-30,155.84,12.54,68.32,40.54,1.79,13.46
"BBVA",1.2,0.27,2.83,2.58,3.26,2.61,8949,2,154128.17,2.09,37.75,472.02,7.19,11.07,2017-09-30,171.22,15.2,38.4,38.81,1.79,19.58
"BCP",1.13,0.17,2.99,2.46,1.69,3.81,3699,1.05,171701.77,2.81,38.63,78.84,8.07,9.25,2017-09-30,144.95,16.49,36.86,43.79,2.47,22.07
"BIF",2.11,0.29,2.98,2.85,4.31,2.3,6453,1.93,116957.45,2.23,48.65,85.85,7.27,15.65,2017-09-30,148.17,12.73,38.78,27.01,0.7,9.64
"Cencosud",0,0,4.57,3.98,0,4.57,607,0.88,7146.42,25.66,72.98,83.6,40.88,2.67,2017-09-30,147.89,20.15,134.81,66.79,1.24,5.29
"Citibank",0.66,0.41,0,0,0,0,4817,1.17,3141103.81,2.69,43.69,66.23,4.51,3.2,2017-09-30,0,32.37,63.03,100.47,3.02,16.65
"Falabella",0,0,7.71,7.26,27.33,7.55,1467,3.02,33285.06,11.41,53.58,86.76,25.98,5.89,2017-09-30,150.55,17.47,110.24,54.55,1.57,10.51
"GNB",6.14,0.35,2.29,1.99,3.34,1.94,6603,0.82,307253.99,2.49,52.19,91.57,7.97,7.15,2017-09-30,157.55,13.94,46.8,32.38,0.93,7.28
"ICBC",1.04,25.58,0,0,0,0,4818,0,1577463.93,3.46,67.28,49.87,3.27,13.37,2017-09-30,0,59.02,99.72,110.07,0.82,4.84
"Interbank",1.63,0.25,2.84,2.67,2.69,2.89,3995,1.02,89261.72,3.49,42.74,86.21,10.66,9.96,2017-09-30,170.32,16.52,54.39,32.71,2.12,20.74
"Mibanco",83.56,32.21,4.71,2.88,20.79,4.48,886,1.35,21133.42,8.37,51.74,96.11,20.99,9.12,2017-09-30,180.9,16.65,33.85,34.13,3.04,24.31
"Pichincha",3.65,1.67,4.21,3.65,6.72,3.35,3810,3.4,77635.62,4.29,59.86,87.07,11.12,10.52,2017-09-30,117.08,13.25,32.04,20.37,0.2,2.42
"Ripley",0,0,3,2.66,0,3,1074,0.8,37062.72,13.8,56.17,89.23,32.42,5.88,2017-09-30,211.45,14.36,565.15,28.7,3.05,17.18
"Santander",4.83,2.98,0.98,0.65,1.1,0.86,29627,1.07,3343492.71,1.14,34.86,86.04,4.79,7.35,2017-09-30,223.44,16.08,46.68,42.37,1.38,11.28
"Scotiabank",2.07,0.16,3.11,2.71,2.87,3.26,7057,0.89,155898.74,2.47,36.78,83.74,7.88,7.91,2017-09-30,136.04,15.21,37.04,25.42,2.14,16.29
"Azteca",39.95,29.93,9.57,7.81,0,9.57,168,0,2131.4,38.97,69.78,93.49,60.96,3.21,2017-10-31,224.1,24.02,70.54,34.22,0.56,2.39
"B. del Comercio",6.07,2.35,3.38,3.22,14.2,2.55,2042,1.28,84569.12,4.2,53.33,94.3,12.32,7.22,2017-10-31,151.92,12.74,68.92,37.6,1.78,13.36
"BBVA",1.16,0.32,2.88,2.6,3.21,2.71,8846,1.98,153768.76,2.08,37.7,82.32,7.15,11.11,2017-10-31,169.69,14.6,39.13,33.9,1.8,19.54
"BCP",1.15,0.18,3,2.48,1.65,3.84,3776,1.02,173837.55,2.83,39.01,78.82,8.12,9.35,2017-10-31,143.69,16.35,38.36,43.6,2.43,21.52
"BIF",1.54,0.57,3.09,2.95,4.33,2.45,6614,1.86,114427.52,2.22,48.56,85.82,7.29,15.06,2017-10-31,145.08,12.71,38.02,32.26,0.69,9.5
"Cencosud",0,0,4.19,3.56,0,4.19,634,0.81,7151.7,26.06,72.66,83.93,40.98,2.65,2017-10-31,156.85,19.28,174.23,59.5,1.24,5.27
"Citibank",0.97,0.36,0,0,0,0,4760,1.2,3543482.19,2.78,45.05,65.52,4.58,3.65,2017-10-31,0,31.3,88.28,84.22,3.18,16.93
"Falabella",0,0,7.86,7.39,28.32,7.71,1435,3.02,32680.29,11.51,53.88,86.75,26.02,5.73,2017-10-31,149.99,17.66,111.16,54.48,1.53,10.15
"GNB",5.28,0.58,2.58,2.02,3.95,2.09,6588,0.59,308585.68,2.48,52.36,91.56,7.93,7.21,2017-10-31,142,13.87,44.05,33.83,0.93,7.29
"ICBC",2.09,2.22,0,0,0,0,4105,0,427763.38,3.35,70.96,52.11,3.24,4.29,2017-10-31,0,53.58,82.05,132.11,0.88,5.37
"Interbank",1.6,0.26,2.98,2.81,3.13,2.93,4036,0.99,96167.19,3.46,42.69,86.24,10.57,10.45,2017-10-31,163.23,16.48,56.14,33.39,2.11,20.48
"Mibanco",70.46,30.21,4.74,2.99,20.37,4.53,892,1.41,21519.31,8.3,51.12,96.14,21.03,9.29,2017-10-31,180.76,16.44,35.13,33.69,3.11,24.92
"Pichincha",4.03,1.54,4.23,3.7,6.99,3.32,3736,3.37,79812.61,4.27,59.54,87.6,11.15,10.59,2017-10-31,118.79,13.43,31.88,23.31,0.17,1.96
"Ripley",0,0,2.95,2.57,0,2.95,1070,1.07,36715.63,13.8,55.99,89.33,32.41,5.62,2017-10-31,220.76,15.74,532.91,30.67,2.91,16.27
"Santander",6.52,4.09,0.89,0.65,1.28,0.51,28726,1.36,3549822.48,1.16,35.11,85.51,4.77,7.72,2017-10-31,246.76,17.38,51.2,55.44,1.46,11.78
"Scotiabank",1.52,0.2,3.21,2.76,2.91,3.38,7015,0.94,159368.79,2.46,36.82,83.82,7.88,7.57,2017-10-31,133.52,15.25,37.81,28.82,2.14,16.16
"Azteca",40.65,17.77,9.59,7.9,0,9.59,166,0,2124.39,39.8,70.37,93.5,62.18,2.89,2017-11-30,216.13,24.37,70.61,32.97,0.58,2.41
"B. del Comercio",6.74,2,3.45,3.3,12.47,2.68,2077,1.21,83613.71,4.21,54.02,94.52,12.35,7.03,2017-11-30,146.54,12.67,72.97,33.38,1.75,13.16
"BBVA",1.1,0.23,2.87,2.61,3.04,2.78,8787,2,154014.87,2.1,37.89,82.22,7.15,10.91,2017-11-30,169.81,14.67,37.53,36.19,1.8,19.37
"BCP",1.19,0.18,2.96,2.47,1.56,3.83,3798,1,177113.72,2.84,39.16,78.84,8.13,9.37,2017-11-30,141.24,15.6,39.92,43.16,2.43,21.42
"BIF",1.48,0.32,3.14,3,4.78,2.31,6608,1.77,104642.5,2.23,48.51,83.39,7.1,14.53,2017-11-30,146.78,13.19,42,24.23,0.7,9.56
"Cencosud",0,0,3.77,3,0,3.77,660,0.76,7663.68,26.29,71.62,84.19,41.23,2.87,2017-11-30,169.68,18.79,187.8,61.37,1.4,5.89
"Citibank",0.97,0.04,0,0,0,0,5153,1.11,3976132.29,2.79,44.49,67.65,4.71,4.04,2017-11-30,0,31.34,68.49,96.52,3.21,16.59
"Falabella",0,0,7.88,7.25,29.7,7.73,1456,2.92,32821.76,11.65,53.91,86.72,26.21,5.73,2017-11-30,148.91,18,135.73,53.72,1.54,10.07
"GNB",6.82,0.27,2.56,2.01,4.02,2.06,6570,0.73,318128.01,2.46,52.61,91.58,7.89,7.41,2017-11-30,143.95,13.83,43.33,36.22,0.94,7.36
"ICBC",2.02,2.08,0,0,0,0,3688,0,490839.27,3.23,78.77,53.79,3.12,4.57,2017-11-30,0,51.24,83.6,120.55,0.6,3.81
"Interbank",1.76,0.28,3.04,2.83,3.11,3.02,4075,0.97,94057.71,3.44,42.67,85.58,10.49,10.33,2017-11-30,159.18,16.21,58.59,32.64,2.1,20.26
"Mibanco",106.5,23.17,4.65,2.9,20.41,4.45,912,1.46,22300.78,8.24,50.69,96.15,21.02,9.3,2017-11-30,183.75,15.94,37.77,34.69,3.17,25.37
"Pichincha",3.35,1.41,4.19,3.61,6.96,3.27,3777,3.26,79591.67,4.28,59.92,87.85,11.1,10.39,2017-11-30,118.58,13.32,33.34,23.2,0.17,1.94
"Ripley",0,0,3.09,2.74,0,3.09,1063,1.16,36155.37,13.72,56.03,89.1,32.3,5.52,2017-11-30,214.41,15.88,534.1,33.12,3.02,16.86
"Santander",3.77,2.81,1.03,0.73,1.18,0.88,29606,0.93,3346324.01,1.16,35.19,85.66,4.89,7.2,2017-11-30,210.47,18.16,48.52,59.92,1.46,11.71
"Scotiabank",1.17,0.12,3.16,2.73,2.86,3.33,7172,0.98,164331.28,2.47,37.15,83.88,7.9,7.84,2017-11-30,135.71,15.41,40.32,25.34,2.12,15.93
"Azteca",123.04,7.88,9.46,7.9,0,9.46,169,0,2163.47,39.8,71.18,93.1,63.68,2.89,2017-12-31,209.78,24.13,72.88,25.65,0.48,1.95
"B. del Comercio",8.93,1.02,3.07,2.97,10.1,2.38,2138,0.69,82904.37,4.15,54.15,94.45,12.37,7.1,2017-12-31,154.04,12.41,68.49,32.37,1.77,13.22
"BBVA",1.2,0.25,2.68,2.45,2.95,2.53,8937,2.14,152019.55,2.12,37.89,82.07,7.14,11,2017-12-31,168.49,14.35,40.67,34.17,1.83,19.52
"BCP",1.33,0.24,2.97,2.44,1.66,3.78,3873,0.91,180449.1,2.83,39.66,78.73,8,9.68,2017-12-31,139.59,15.48,41.92,39.93,2.42,21.32
"BIF",2.59,0.35,3.14,3.02,4.78,2.33,6901,1.84,114066.31,2.25,48.43,83.35,7.12,15.16,2017-12-31,150.79,13.34,42.52,22.01,0.72,9.79
"Cencosud",0,0,4.05,3.36,0,4.05,700,0.66,7819.19,25.84,70.08,83.94,41.34,3.04,2017-12-31,156.56,17.92,239.56,54.43,1.79,7.52
"Citibank",1.13,0.03,0,0,0,0,5699,1.08,4323005.79,2.54,44,66.68,4.69,4.66,2017-12-31,0,27.57,92.79,82.88,2.55,12.96
"Falabella",0,0,7.81,7.4,31.32,7.66,1465,2.92,36095.75,11.72,54.2,86.48,26.26,5.81,2017-12-31,149.08,17.74,140.99,51.26,1.54,9.98
"GNB",9.58,0.38,2.49,2.14,4.16,1.93,6701,0.75,325576.99,2.4,52.27,91.22,7.81,7.57,2017-12-31,161.35,13.77,45.54,36.35,0.78,6.15
"ICBC",1.89,49.5,0,0,0,0,3682,0,459939.1,3.4,83.04,55.11,3.21,4.33,2017-12-31,0,49.59,85.81,106.72,0.62,4.04
"Interbank",2.02,0.25,2.85,2.69,2.75,2.89,4134,0.98,110137.78,3.41,42.3,78.74,9.65,10.88,2017-12-31,167.2,15.88,63.27,31.75,2.15,20.62
"Mibanco",51.11,21.05,4.74,2.91,20.57,4.54,926,1.47,22405.7,8.15,49.83,96.36,21.04,9.3,2017-12-31,184.05,15.72,43.28,31.91,3.09,24.8
"Pichincha",3.34,1.3,3.72,3.23,5.2,3.24,3742,3.3,80281.33,4.28,59.79,88.15,11.22,10.33,2017-12-31,124.39,13.17,31.39,20.72,0.24,2.76
"Ripley",0,0,3.04,2.74,0,3.04,1106,1.31,36827.99,13.56,56.39,88.55,32.31,5.58,2017-12-31,215.73,14.69,630.54,30.83,3.17,17.57
"Santander",7.14,1.14,0.8,0.76,1.24,0.35,30473,1.09,3516538.59,1.23,36.04,83.88,4.94,7.67,2017-12-31,265.09,18.19,52.31,43.23,1.5,11.95
"Scotiabank",1.33,0.19,3.15,2.76,2.87,3.32,7028,1.05,157446.75,2.46,37,83.67,7.9,7.51,2017-12-31,137.74,15.13,38.69,24.89,2.13,15.89
"Azteca",113.95,17.49,9.65,8.08,0,9.65,168,0,2124.76,40.88,67.62,92.2,64.91,2.8,2018-01-31,210.21,24.13,66.67,22.16,0.4,1.61
"B. del Comercio",6.75,1.52,3.43,3.17,8.99,2.79,2098,0.61,82824.7,4.12,50.56,96.46,12.37,7.03,2018-01-31,145.62,12.41,67.64,30.65,1.77,13.15
"BBVA",1.4,0.21,2.87,2.66,3.13,2.74,8708,2.18,151154.17,2.12,37.51,81.91,7.13,10.94,2018-01-31,163.59,14.35,42.46,31.97,1.85,19.56
"BCP",1.22,0.19,2.96,2.49,1.58,3.81,3881,0.91,189728.46,2.82,33.62,80.1,8.01,9.7,2018-01-31,141.72,15.48,43.27,41.5,2.42,21.2
"BIF",2.34,0.4,3.2,3.07,4.79,2.41,6884,1.97,120611.87,2.24,46.07,82.75,7.04,15.71,2018-01-31,150.19,13.34,46.49,26.17,0.71,9.77
"Cencosud",0,0,4.34,3.62,0,4.34,719,0.64,8274.97,25.82,59.1,85.42,41.53,3.07,2018-01-31,158.1,17.92,191.73,42.77,1.9,8.01
"Citibank",0.86,0.34,0,0,0,0,5437,1.13,4569003.39,2.56,35.33,60.36,4.6,4.53,2018-01-31,0,27.57,85.76,84.97,2.62,12.94
"Falabella",0,0,8.08,7.7,31.84,7.93,1410,3.01,38482.9,11.99,57.5,87.22,26.61,5.55,2018-01-31,148.45,17.74,141.1,37.62,1.57,10.06
"GNB",7.44,0.48,2.93,2.24,5.09,2.2,6656,2.17,334511.23,2.37,46.37,92.39,7.75,7.65,2018-01-31,137.48,13.77,45.67,38.72,0.79,6.2
"ICBC",1.46,23.82,0,0,0,0,3804,0,510045.92,3.29,196.15,79.99,3.05,4.7,2018-01-31,0,49.59,84.99,120.63,0.63,4.28
"Interbank",1.41,0.24,2.9,2.69,2.75,2.96,4112,0.95,105037.77,3.41,28.6,85,9.92,10.63,2018-01-31,175.77,15.88,67.06,32.51,2.31,21.99
"Mibanco",56.45,17.92,4.74,2.95,20.96,4.55,930,1.48,23163.97,8.09,48.36,96.19,21.07,9.42,2018-01-31,184.81,15.72,50.1,35.36,3.13,25.18
"Pichincha",2.72,1.42,3.79,3.23,5.26,3.32,3767,3.31,81167.51,4.25,53.75,91,11.23,10.34,2018-01-31,124.59,13.17,33.39,22.99,0.28,3.21
"Ripley",0,0,3.16,2.88,0,3.16,1075,1.3,34355.32,13.55,50.78,90.41,32.26,5.32,2018-01-31,214.68,14.69,701.57,32.2,3.18,17.53
"Santander",4.14,0.55,1.06,0.8,1.29,0.83,28532,0.81,3547814.85,1.24,37.87,92.13,4.9,7.64,2018-01-31,204.36,18.19,60.84,35.16,1.53,12.14
"Scotiabank",1.41,0.12,3.25,2.8,2.88,3.46,7107,1.07,165193.36,2.45,35.3,84.77,7.87,7.7,2018-01-31,135.69,15.13,39.01,26.11,2.11,15.67
"Azteca",99.07,16.38,9.47,7.89,0,9.47,168,0,2111.03,41.7,69.75,92.37,66,2.81,2018-02-28,212.68,23.32,68.4,22.44,0.48,1.88
"B. del Comercio",5.48,1.77,3.57,3.34,9.47,2.92,2047,0.6,83376.71,4.09,50.62,95.23,12.4,7.03,2018-02-28,147.04,12.1,65.85,37.43,1.79,13.22
"BBVA",1.18,0.21,2.98,2.74,3.22,2.85,8694,2.18,150869.43,2.14,40.18,81.97,7.17,10.78,2018-02-28,162.53,14.35,43.45,33.18,1.85,19.36
"BCP",1.17,0.18,3.19,2.52,1.57,4.24,3891,0.91,186352.46,2.81,36.42,79.21,7.95,9.68,2018-02-28,134.58,15.22,38.14,45.15,2.44,21.29
"BIF",1.94,0.44,3.23,3.06,4.62,2.51,6988,1.84,125617.47,2.22,47.86,82.76,6.97,16.41,2018-02-28,150.48,13.16,52.6,26.1,0.72,9.97
"Cencosud",0,0,4.39,3.48,0,4.39,727,0.62,8526.64,25.74,58.5,85.26,41.69,3.19,2018-02-28,158.6,16.43,268.45,45.15,1.97,8.31
"Citibank",0.61,0.38,0,0,0,0,4680,1.32,4404696.89,2.56,39.37,66.93,4.96,4.46,2018-02-28,0,26.06,97.92,87.11,2.76,13.29
"Falabella",0,0,8.04,7.64,33.31,7.88,1369,3.12,38289.84,12.27,58.6,86.86,26.85,5.55,2018-02-28,152.21,17.56,135.16,33.12,1.53,9.66
"GNB",5.69,0.41,2.86,2.28,4.65,2.24,6710,3.04,330336.39,2.35,50.1,92.08,7.7,7.08,2018-02-28,142.27,13.74,45.39,39.72,0.82,6.49
"ICBC",1.48,10.75,0,0,0,0,4016,0,443410.75,3.28,173.39,81.36,3.03,4.14,2018-02-28,0,59.07,80.92,155.5,0.48,3.31
"Interbank",1.54,0.2,2.94,2.63,3.04,2.91,4130,0.96,100936.28,3.4,35.09,82.53,9.83,10.41,2018-02-28,172.44,16.35,68.75,32.15,2.32,21.98
"Mibanco",70.33,24.24,4.83,3,21.39,4.64,935,1.46,22776.46,8.07,50.49,96,21.11,9.26,2018-02-28,183.61,14.93,57.48,32.24,3.2,25.68
"Pichincha",2.93,1.27,3.91,3.24,5.32,3.46,3792,3.19,82581.12,4.23,55.62,90.04,11.24,10.5,2018-02-28,122.53,13.22,31.94,22.5,0.31,3.53
"Ripley",0,0,3.17,2.85,0,3.17,1044,1.27,31348.04,13.52,53.34,90.95,32.19,5.22,2018-02-28,221.37,14.31,682.52,31.75,3.18,17.42
"Santander",4.78,1.89,1.17,0.8,1.34,1.02,27234,0.78,3528293.7,1.26,43.98,87.89,4.89,7.74,2018-02-28,182.34,17.35,60.42,37.73,1.49,11.85
"Scotiabank",1.03,0.13,3.26,2.81,2.9,3.47,7258,1.06,165882.25,2.45,37.52,84.15,7.85,7.7,2018-02-28,134.15,15.07,34.95,29.64,2.1,15.6
"Azteca",106.22,10.35,9.7,8.06,0,9.7,171,0,2128.3,42.71,69.61,91.98,66.94,2.82,2018-03-31,212.09,23.35,62.5,22.66,0.47,1.84
"B. del Comercio",4.4,1.26,3.44,3.22,8.02,2.88,2007,0.59,80324.54,4.04,50.44,95.51,12.4,5.85,2018-03-31,149.76,12.14,65.66,41.62,1.77,12.94
"BBVA",1.22,0.21,2.83,2.59,3.2,2.63,8795,2.17,150950.23,2.15,39.28,81.99,7.17,10.92,2018-03-31,165.57,14.33,37.34,36,1.86,19.29
"BCP",1.2,0.17,2.86,2.32,1.5,3.71,3875,0.91,184688.07,2.79,36.63,79.27,7.92,8.78,2018-03-31,143.67,14.98,39.44,43.85,2.49,21.64
"BIF",1.89,0.37,3.16,2.97,4.42,2.51,6984,1.84,124045.68,2.21,47.14,82.93,6.94,15.53,2018-03-31,150.64,13,52.65,25.59,0.71,9.88
"Cencosud",0,0,4.86,3.72,0,4.86,747,0.59,9047.74,25.49,58.47,84.99,41.74,3.43,2018-03-31,155.33,16.24,228.63,48.03,1.91,8.15
"Citibank",0.87,0,0,0,0,0,4867,1.26,3597158.23,2.63,39.07,59.22,4.99,3.69,2018-03-31,0,27.54,103.33,87.84,2.84,13.28
"Falabella",0,0,7.66,7.27,33.19,7.51,1350,3.2,40177.68,12.55,58.4,86.99,27.01,5.4,2018-03-31,153.74,17.67,153.25,37.7,1.52,9.52
"GNB",6.24,0.3,2.92,2.42,4.71,2.31,6533,3.99,331483.95,2.33,50.27,86.29,7.65,7.1,2018-03-31,141.36,14.37,44.97,41.51,0.95,7.52
"ICBC",2.5,1.71,0,0,0,0,4002,0,394915.92,3.23,162.46,83.13,2.98,4.19,2018-03-31,0,46.5,73.89,145.74,0.45,3.19
"Interbank",1.79,0.24,2.74,2.57,2.82,2.71,4222,0.94,105276.01,3.37,37.13,81.29,9.69,9.52,2018-03-31,182.91,16.35,71.7,29.95,2.31,21.86
"Mibanco",121.72,21.16,5.1,3.11,21.51,4.92,940,1.41,22396.22,8.05,49.32,95.98,21.14,9.16,2018-03-31,175.97,14.84,50.06,31.89,3.38,26.86
"Pichincha",2.38,0.88,3.76,3.11,5.23,3.29,3828,3.26,81998.18,4.23,56.6,89.23,11.26,10.17,2018-03-31,125.37,13.24,32.54,22.65,0.35,4.04
"Ripley",0,0,3.24,2.88,0,3.24,1031,1.19,32914.53,13.53,55.21,91.19,32.06,5.23,2018-03-31,220.07,14.57,673.59,33.61,3.2,17.39
"Santander",5.85,0.21,1.02,0.93,1.05,1,27743,0.84,3270647.22,1.3,43.33,86.26,4.88,6.93,2018-03-31,191.29,17.35,63.62,31.15,1.53,12.09
"Scotiabank",1.31,0.12,3.26,2.83,2.88,3.47,7388,1.06,159164.84,2.45,36.33,83.86,7.85,7.14,2018-03-31,134.42,14.77,34.16,25.14,2.11,15.61
"Azteca",115.95,25.62,9.6,7.87,0,9.6,166,0,2090.65,43.67,71,90.15,67.75,2.77,2018-04-30,215.43,23.49,65.81,25,0.67,2.6
"B. del Comercio",7.49,0.93,3.5,3.37,8.06,2.97,2015,0.58,78643.26,4.05,52.48,95.43,12.4,5.8,2018-04-30,149.99,12.5,68.5,33.73,1.71,12.38
"BBVA",1.35,0.19,3.07,2.72,3.49,2.85,8692,2.09,150162.22,2.17,38.99,81.68,7.17,10.64,2018-04-30,157.11,14.98,40.41,30.94,1.86,19.17
